Date,Predicted
2019-11-20,36707.1484375
2019-11-21,36625.36328125
2019-11-22,36544.44140625
2019-11-25,36467.5234375
2019-11-26,36401.08203125
2019-11-27,36345.99609375
2019-11-28,36298.59765625
2019-11-29,36257.65625
2019-12-02,36222.359375
2019-12-03,36190.4609375
2019-12-04,36163.796875
2019-12-05,36143.41015625
2019-12-06,36125.97265625
2019-12-09,36105.25
2019-12-10,36079.3125
2019-12-11,36047.31640625
2019-12-12,36012.44140625
2019-12-13,35976.09765625
2019-12-16,35940.3359375
2019-12-17,35901.6953125
2019-12-18,35860.03515625
2019-12-19,35821.04296875
2019-12-20,35790.41796875
2019-12-23,35767.45703125
2019-12-24,35750.16015625
2019-12-26,35735.84375
2019-12-27,35720.6328125
2019-12-30,35701.9140625
2020-01-02,35678.62890625
2020-01-03,35650.6484375
2020-01-06,35622.24609375
2020-01-07,35590.3046875
2020-01-08,35550.34375
2020-01-09,35499.50390625
2020-01-10,35438.03125
2020-01-13,35364.44921875
2020-01-14,35274.20703125
2020-01-15,35169.1015625
2020-01-16,35052.21875
2020-01-17,34928.78515625
2020-01-20,34802.58203125
2020-01-21,34675.1015625
2020-01-22,34543.828125
2020-01-23,34411.625
2020-01-28,34283.4140625
2020-01-29,34160.58984375
2020-01-30,34039.85546875
2020-01-31,33917.29296875
2020-02-03,33791.41015625
2020-02-04,33660.73046875
2020-02-05,33525.4765625
2020-02-06,33388.48046875
2020-02-07,33253.125
2020-02-10,33121.49609375
2020-02-11,32995.87109375
2020-02-12,32881.58984375
2020-02-13,32782.2265625
2020-02-14,32697.275390625
2020-02-17,32628.16015625
2020-02-18,32576.671875
2020-02-19,32541.181640625
2020-02-20,32517.517578125
2020-02-21,32503.572265625
2020-02-24,32497.234375
2020-02-25,32500.19921875
2020-02-26,32513.205078125
2020-02-27,32539.828125
2020-02-28,32576.056640625
2020-03-02,32618.2578125
2020-03-03,32661.87890625
2020-03-04,32703.353515625
2020-03-05,32738.837890625
2020-03-06,32769.04296875
2020-03-09,32794.49609375
2020-03-10,32813.9921875
2020-03-11,32826.78515625
2020-03-12,32837.18359375
2020-03-13,32859.6171875
2020-03-16,32903.3515625
2020-03-17,32970.84375
2020-03-18,33060.48046875
2020-03-19,33169.3515625
2020-03-20,33295.3671875
2020-03-23,33434.68359375
2020-03-24,33582.21875
2020-03-25,33734.75390625
2020-03-26,33889.5625
2020-03-27,34045.19140625
2020-03-30,34200.8671875
2020-03-31,34355.59375
2020-04-01,34508.69921875
2020-04-02,34660.21875
2020-04-03,34811.375
2020-04-06,34967.45703125
2020-04-07,35131.25
2020-04-08,35299.2578125
2020-04-09,35465.828125
2020-04-10,35628.31640625
2020-04-13,35783.97265625
2020-04-14,35931.62109375
2020-04-16,36067.6640625
2020-04-17,36191.7578125
2020-04-20,36301.9609375
2020-04-21,36395.84765625
2020-04-22,36468.59375
2020-04-23,36519.72265625
2020-04-24,36551.515625
2020-04-27,36567.49609375
2020-04-28,36570.39453125
2020-04-29,36562.515625
2020-05-04,36548.078125
2020-05-06,36529.99609375
2020-05-07,36514.53515625
2020-05-08,36504.046875
2020-05-11,36494.75
2020-05-12,36488.95703125
2020-05-13,36484.97265625
2020-05-14,36480.76953125
2020-05-15,36472.80078125
2020-05-18,36458.66796875
2020-05-19,36437.53125
2020-05-20,36409.66796875
2020-05-21,36378.21875
2020-05-22,36345.44140625
2020-05-25,36310.33984375
2020-05-26,36274.70703125
2020-05-27,36242.2265625
2020-05-28,36213.78515625
2020-05-29,36188.484375
2020-06-01,36165.98828125
2020-06-02,36147.34375
2020-06-03,36133.234375
2020-06-04,36122.6015625
2020-06-05,36112.53125
